title,abstract,keyphrases
React Developer,I need a react developer to continue development of my existed CRM system,"react developer, existed crm system, development"
I have an essay based short project.,"Hello New freelancers, I have a project where I need to answer a few questions by using reference material and doing some research.","new freelancers, short project, reference material, essay, research, few questions"
Data Engineer to organize my data files and DB,"Hello, I have many DB from different sources and I need to organize them on a server and store it correctly. I also need to build a search engine on it and be able to use it with an API. Answer with GOLD to make sure that you read the description otherwise I won't answer you :) !","many db, data engineer, data files, different sources, search engine, api, server, gold, description"
Machine learning,Optimization for neutral networks. I'm looking for some conversant with python to review my work and help improve it,"machine learning, neutral networks, optimization, conversant, python, work"
Visualizing traffic light data,"locating the specific abnormalities that might be related to intrusions into a traffic management system - We must first comprehend how these systems function before we can anticipate how attacks might be spotted in the data from the traffic control systems. We briefly describe traffic signal systems in the sections that follow, and then we list some possible assaults on those systems. We take the time distribution cycles and all the values included are normalized and the dataset is cleaned before plotting the final graph. We then take the attributes from the dataset and apply a proper visualizing method to detect the abnormalities. Basically, we need to reveal the patterns (normal and abnormal) in the given traffic light data across a few intersections. The normal patterns should be do...","traffic light data, traffic control systems, traffic management system, time distribution cycles, proper visualizing method, specific abnormalities, systems, possible assaults, normal patterns, final graph"
I need excel expert to convert PDF election list in Excel format proper rows and columns,I have Voter list in PDF format in in marathi languge with photo on voter . I have to convert data of this PDF voter list which is in marathi to excel sheet in same language .i m sending sample list to understand. My PDF voter list size is appx 30 MB.,"same language .i, pdf voter list size, pdf election list, proper rows, excel expert, pdf format, excel format, sample list, marathi languge, columns"
build your online traffic- email and social media marketing,"more than 2 years' experience writing emails and generating traffic through social media. I spend as much time needed on writing an email or advertising on a new post until I see it as perfect for the ideal customers. Let me help grow your business using my skills and experience, Just think how in only one month time your business will have reached a whole new audience using email or social media marketing.","online traffic- email, social media marketing, month time, ideal customers, new post, email, experience, business, years, traffic"
I have an essay based short project.,I have a project where I need to answer a few questions by using reference material and doing some research.,"short project, reference material, essay, research, few questions"
Email Campaign Expert with Zapier Experience,"We're looking for the email campaign expert who have a good experience with Zapier. We have setup the campaigns, and a majority of the tagging necessary, but need help with the API/Webhooks integration to get it all triggering correctly. Let me know if you can handle this properly.","email campaign expert, zapier experience, good experience, webhooks integration, api, campaigns, majority, help"
Adding JavaScript file in a Angular & React Login page,Need to include a JS File in the login form of the web page built on Angular and React.,"react login page, javascript file, login form, web page, angular, react, js file"
OpenCV item measurement and logging,"I need to detect object, accurately measure and log photo and dimensions of object to file.","opencv item measurement, object, logging, photo, dimensions"
Fashion company of luxury clothes,We are looking for a person for our new Italian casual wear brand. We would need a designer who specializes in finding the right materials for our needs.,"fashion company, luxury clothes, new italian casual, right materials, person, brand, designer, needs"
Very Urgent need a lead generator for medicare advantage plans,"Hello There Very urgently need a lead generator for medicare advantage plans has be co registration if you think that could get me good leads, ill pay per lead and buy a bundle. So please apply asap if you can start it immediately after hiring. Thanks","medicare advantage plans, lead generator, ill pay, urgent, good leads, registration, bundle, asap, thanks"
Python and OpenGL project.,I need someone with the knowledge of python and OpenGl and animation to make a module,"opengl project, python, knowledge, animation, module"
From a website pick out all global categories,"From a website pick out all global categories. For each global category, create a separate Excel sheet within the provided Excel file (category ) that has the corresponding global category name. Put the global category name in cell A1. The different main categories of a global category are to be listed next to each other in row 2. The different subcategories of a main category are to be listed one below the other starting from row 3. If there is no subcategory for a main category, then this is to be marked with ""n/a"" in row 3.","global categories, separate excel sheet, different main categories, main category, excel file, website, row, different subcategories, subcategory, cell a1"
Want Game application,Hi I want aviator game with 6 more Thanks,"game application, aviator game, more thanks"
Turkish tutoring,Turkish tutoring translator,turkish tutoring translator
Canva video experts,"Hello, We would like to do Videos in Canva with all available features. Need creative skills. Presentations needed: 15 for example: Script: attached Canva link:","canva video experts, canva link, available features, creative skills, videos, script, presentations, example"
Some fixes failed for Page indexing issues on site on website.,"my website i have 500+ pages - Crawled - currently not indexed if you can solve it , please bid :) ,Thank you.","page indexing issues, website, fixes, site, pages"
appointment setting leads,I need appointment setting leads for my Real estate business in Dubai,"appointment setting leads, real estate business, dubai"
Quantitative Business Analysis Report,"A real life problem related to pharmacy or the training centers in Egypt to be solved and reported by one of the Quantitative Business simulation models. The Word file MUST contain the following: 1- Explanation of the the simulation model that will be used to solve the problem. 2- The problem definition (Must include current situation, desired situation, the gap and how to over come it) 3- Probabilities and risk analysis of each one and the optimal solution and why we select it (Of course with controllable and uncontrollable inputs… etc.) IMPORTANT NOTES: - Not less than 10 papers with references. - Any source of data (like Excel sheet) should be provided with the Word file. - The problem must be related to a pharmacy or a training center in Egypt ( I kindly should know it befo...","quantitative business analysis report, quantitative business simulation models, real life problem, word file, simulation model, problem definition, training centers, important notes, excel sheet, egypt"
Python Editing Video with AI auto. based on audio,"Hello, I am looking for someone who would be able to generate a PYTHON code using an API to get VIDEOS/Images/gifs related to the audio and integrate them inside the video. in brief, using Python only : - Searching videos/images/gifs related to the audio - Integrating them during the video in function of the video - Exporting video Thanks","python editing video, video thanks, python code, audio, videos, images, gifs, api, brief, function"
Online work on social media platforms.,We are providing online work on social media handle. Like promotion requirements etc.,"social media platforms, online work, promotion requirements"
"Show an element in php from a mysql table , sorted from many elements","My project will show one result in a php page sorted from mysql table. Actually the php page get position of user, calculate the minimum distance from many mysql entryes. It need to show only the minimum distance entry.","mysql table, php page, minimum distance entry, element, many mysql entryes, project, result, position, user, many elements"
App Development,I need backend social media features done for my apps. Figma and frontend already done,"backend social media features, app development, apps, figma, frontend"
Require home floor plan for a 5 BR Duplex home for a joint family -- 2,"I am looking to get a Floor plan for our family home. This contract can extend further with structure design, elevation, interiors as well depending upon how well the job is done with initial high level floor plan/design depending upon work produced. This will be a duplex home with 5 bedroom for a joint family which will be on free land where our current home is standing today. Total Land area is indicated in the kind survey attached in this posting with the description. In the screenshot file, land indicated in Green is desired land to be used for new house, starting from Noth, and can be extended to Orange area. And finally the Area highlighted in Red can be used but only as last resort for any structure that can't be compromised. High Level Requirements are as below and oth...","initial high level floor plan, home floor plan, joint family, family home, duplex home, total land area, high level requirements, current home, orange area, structure design"
"Create low resolution thumbnails for high resolution images, mainly tiff image formats","We need a plugin which can create low resolution thumbnails for high resolution images, mainly tiff image formats which will be like 100-200MB in size. We are using Amazon S3 bucket for storage and also a javascript plug-in from Amazon for image upload.","low resolution thumbnails, high resolution images, image formats, image upload, javascript plug-in, amazon, plugin, size, amazon s3 bucket, storage"
Creative script writer for video,"Hello everyone, I want to create a youtube channel that presents animated summaries of social studies. Your job will be to look for interesting studies (together with me) - once found - you will read through the study and create a short script for a 3 min video/audio summary. Editing will be done by someone else, you will only need to write the text/ script. For your application to be considered, please start with a max 10 word title that you would put to a video summarizing your favorite study (and cite the study). Kind regards with thanks, Dani","creative script writer, youtube channel, min video, social studies, short script, audio summary, favorite study, animated summaries, interesting studies, word title"
Need a flutter developer who can do some changes on my application -- 2,Need a flutter developer who can do some changes on my application,"flutter developer, changes, application"
3D Volume rendering of X-ray and MIP ray casting,need to develop a code using c++ for X-ray and MIP raycasting techniques,"mip ray, x-ray, 3d volume rendering, code, c++, techniques"
SEO Content Writer Editor job,Looking for professional writers/editors who use Copyscape(or other) daily for plagiarism checking to test a new plagiarism checking tool (that also detects AI content) and provide feedback. This is currently a short-term tester role but can grow into a longer-term role. The task is simple... 1. Create an account (with a FREE coupon code) 2. Use the tool 3. Provide feedback (filling out a form) Keep the free credits on the account,"seo content writer editor job, new plagiarism checking tool, short-term tester role, free coupon code, professional writers, longer-term role, free credits, copyscape(or, feedback, account"
Custom product and custom email Woocommerce (Urgent),"I need to add features to this specific product: [login to view URL] 1) The tree should have balls for each transaction that was purchased in this product.. for example if 100 users bought this product before, the tree should be filled with 100 balls of different colors. 2) When user select color, a new and bigger ball should appear in the tree with the selected color.. 3) When user write his name, his name should appear in the ball. 4) when user pay, this same preview that user did should be storage in a specific and unique url, so when user pay, can share that specific link to anyone and see the same preview with the ball and his name on it. I need it to be done in 12 hours","custom email woocommerce, custom product, specific product, user, urgent, unique url, different colors, tree, specific link, balls"
NFT design,I need a serious person who can help me design an NFT for me,"nft design, serious person"
Capital Solutions,"An online database similar to that enables financial institutions to report unpaid checks for businesses and individuals. This is a project to develop software specifications, whoever wins the project will also be requested to oversee the software developer as a project manager.","capital solutions, online database, project manager, financial institutions, unpaid checks, software specifications, software developer, businesses, individuals"
Animate our logo,We need someoen to animate the logo. where the video would show the box first then the word EVENTS then the main logo nour droubi to be hand written in animation pls quote your best rate,"main logo nour droubi, word events, logo, best rate, someoen, video, box, hand, animation"
Microsoft dynamics sales crm customization,customize make word template with online sign 2. services tasks value add ( cleaning business price is calculate how many sq ft area and what taks are performed,"sales crm customization, services tasks value, word template, online sign, business price, microsoft, customize, taks, ft area"
Lead generation and appointment setting services,Hi I am looking for lead generation and appointment setting services for my services business in calgary canaday,"appointment setting services, lead generation, services business, calgary canaday"
I need my VB project converted to x64 -- 2,My private application plugins used for activity tracking are written in VB. Plugins working only on 32bit. I need code conversion to be adapted to run on both on 32bit and 64bit. Please submit your proposals only if you are experienced in such field. I need serious freelancer. It's simple project so my budget is around $20,"private application plugins, x64, activity tracking, simple project, code conversion, 32bit, plugins, proposals, budget, 64bit"
Build a voip app,"Build a voip app with dashboard for admin control reseller panel , server management Use freepbx for calling system Requirement to be discussed more in debt but mainly use sip trunk to make calls, Caller ID selection User interface for user info, credit remaining and extort dates Admin dashboard to control all user info Android based, source code to be provided too","admin control reseller panel, server management use freepbx, user info android, caller id selection user interface, voip app, admin dashboard, system requirement, source code, debt, trunk"
Creative script writer for video,"Hello everyone, I want to create a youtube channel that presents animated summaries of social studies. Your job will be to look for interesting studies (together with me) - once found - you will read through the study and create a short script for a 3 min video/audio summary. Editing will be done by someone else, you will only need to write the text/ script. For your application to be considered, please start with a max 10 word title that you would put to a video summarizing your favorite study (and cite the study). Kind regards with thanks, Dani","creative script writer, youtube channel, min video, social studies, short script, audio summary, favorite study, animated summaries, interesting studies, word title"
Design Facebook post images,I have around 30 Facebook image posts ideas which I would like altering to my details and logo and also size for an instagram post also.,"design facebook post images, facebook image, instagram post, ideas, details, logo"
Build VIN CODE Checker Website,Hi there There is website called where you can purchase cheap CarFax report I want to have similar website and resell reports from that website to mine I'm trying to get API code but it is possible to do it without API code? process should be automatic for more details please contact me,"vin code checker website, cheap carfax report, api code, similar website, resell reports, process, more details, mine"
"Change shirt, put the one from the Spanish footbal team","Change shirt, put the one from the Spanish footbal team","spanish footbal team, change shirt, one"
Website Development and Social Media Marketing,I want a professional who is well equipped in website development along with organic and inorganic marketing,"social media marketing, website development, inorganic marketing, professional"
Private project or contest #35211051,Empty String,"private project, empty string"
Finance - Rephrasing from existing report,"Hi, I have a past writeup, which I have updated with new tables and screenshots. I need the text paraphrased, and new numbers from the updated tables and screeshots plugged in. Please get back if interested. Thanks.","past writeup, new tables, new numbers, finance, report, rephrasing, screenshots, text, thanks"
Translate and create subtitles for some German speaking videos,I have almost 3 hours worth of German videos from an online course I'm taking that I need english subtitles to be able to understand.,"german videos, english subtitles, online course, hours"
Pinescript Strategy,"Hello, I'm looking to have a strategy built that meets some specific criteria that I'm looking for. I'm looking for a strategy that has a 65% win rate (or higher), with a 1:2 risk to reward ratio with a fixed pip amount. For example, always a 10 pip stop loss and 20 pip take profit. I'm looking to trade on any of the major forex markets on a 2 hour down to a 5 minute timeframe, taking 10-25 trades per week. Obviously, I'd like this strategy to not repaint as well. Do you have anything that satisfies these conditions? Thanks.","pinescript strategy, specific criteria, major forex markets, pip, minute timeframe, risk, ratio, example, loss, profit"
2D Animation Using Krita,"I need the following: 1. (4) characters designed in Krita (boy, girl, whale, dolphin) ---I have 4 characters already completed. 2. Create an image storyboard for me to give feedback on and then approve. 3. Animate a 3-minute animated video with sfx. (I will provide voices and music) * All work must be 100% custom design. * No white-board animation, corporate videos, or clip-art. --- Please only submit examples of animated stories with characters speaking. --- Please share only beautiful, custom-designed characters & animation created from scratch. --- Please do not submit clip-art animation or corporate videos. Thank you!","2d animation using krita, corporate videos, clip-art animation, characters, krita, white-board animation, custom-designed characters, animation, boy, girl"
We Are Hiring Entry Level/Beginner Wordpress Designers & Developers - Open Position : 2  -- 2,"Hello folks, we are hiring Beginners / Entry Level wordpress developers and designers for our company to work from home . Responsibilities : 1) Finish the project as per proposed timeline 2) You will get paid on monthly basis + Bonus from each project Rest information will be shared with the short listed candidates 3) Selection Criteria : Mandatory Google Meet Interview (15-25 Minutes) or Send us your 2 Minute Self introduction video in Brief More information will be shared with shortlisted candidates Warm Regards , QwilWeb Developers","beginner wordpress designers, mandatory google meet interview, minute self introduction video, open position, entry level, candidates warm regards, wordpress developers, project rest information, qwilweb developers, selection criteria"
Build me a data base of orders,"Urgent requirement of Data base operator for entries of 5400 order in excel sheet Including (Customers name,email,contact,adress,order date,desciption,amount,id). Time duration for completion is 35days. First Payment on completion of 50% work left on completing all work after checking project...","data base operator, excel sheet including, order date, urgent requirement, time duration, orders, completion, entries, email, contact"
HTML learning,you can learn HTML you can learn html help foe creating a webpage,"html learning, html help, webpage"
Trading chart,"i looking for someone able to design frontend for a trading chart, with price and technicals. No plugins or external api, it must be done native. See the design attached","trading chart, external api, frontend, price, technicals, design, plugins"
Design THz photoconductive antenna using CST,"Hello for everyone,I need simple design of THz photoconductive antenna using CST , with report. If anyone have experiences with it or ready project we can agreement. thank you","photoconductive antenna, design thz, simple design, cst, ready project, report, experiences"
Business English Teacher -- 2,"Online lessons Central Offices: Oaxaca, Mexico Contract: Freelancers Position We are looking for English Teachers with extensive teaching experience to adults in business and commercial areas. Our students are located in Asia and the middle East Personal Attributes Self-motivated and being able to motivate others; Strong interpersonal skills; Proactive and flexible but with good respect for academic programs; Able to work with students of different business backgrounds, languages and levels. Able to adapt learning materials and activities to different digital devices and teaching situations. Able to adapt to cross-cultural situations with a variety of cultures. Qualifications/Experience Native/proficient English. 3+ years of experience University Degree. English Teaching Certificate ...","middle east personal attributes self-motivated, business english teacher, online lessons central offices, different business backgrounds, english teaching certificate, extensive teaching experience, experience university degree, mexico contract, freelancers position, english teachers"
website for cleaning agency,I need somebody who will be able to apply the selected template to any cms (WordPress maybe?) and connect the chatbot to my WhatsApp account.,"whatsapp account, website, agency, wordpress, template, cms, chatbot"
Odoo Module upgrade - Employee Covid Vaccination Details,"Ref #06. We require an experienced Odoo developer to upgrade an existing app. - This is a modification to a 3rd party app - Upgrade the ""Employee Covid Vaccination Details"" app from v14 to v16. Looking for: - Positive Attitude + Good communication skills (English) - Ability to meet deadlines + Quality of work - Best coding practices and clean code without affecting performance - Ability to work in different timezones - Knowledge of using GIT","employee covid vaccination details, odoo module upgrade, experienced odoo developer, good communication skills, 3rd party app, positive attitude, app, ability, clean code, different timezones"
Need a webscraping expert to create a script to get balance from a website without getting IP ban or rate limited,"I have a CSV file with a list of Ethereum addresses, need a script that will add a column in that CSV with the balance value from a website YOU NEED TO HAVE EXPERIENCE DEALING WITH LARGE DATASETS WITH MORE THAN 10,000 ENTRIES","balance value, csv file, large datasets, ethereum addresses, script, website, expert, rate, experience, entries"
Logo Design for Pearl & Ruby,Amazon fba Modern,"logo design, fba modern, pearl, ruby, amazon"
Bybit Bot build,"I would like to use this script with bybit there is a free trial so you can get familiar with the complexed alerts. I would like to have different order size% per timeframe and symbol. Option for limit or market orders. The series of alerts goes from New Harmonic Pattern Harmonic Pattern Status Update-""status"" : ""Entry Price reached"" Harmonic Pattern Status Update-""status"" : ""Target1 Reached"" Harmonic Pattern Status Update-""status"" : ""Target2 Reached"" Harmonic Pattern Status Update-""status"" : ""Target3 Reached"" Harmonic Pattern Trade Closure There are different alerts conditions will list below ""alert"" : ""New Harmonic Pattern"", ""id"" : 246, ""ticker"" : ""BTCUSD&qu...","new harmonic pattern harmonic pattern status update-""status, bybit bot build, harmonic pattern trade closure, different alerts conditions, complexed alerts, entry price, free trial, different order, market orders, bybit"
Social media work...,Work on social media handle..... Fresher and graduated......,"social media work, fresher"
Verbatim insurance transcription,"Speechpad is seeking vetted transcribers to transcribe confidential insurance claim phone calls. Our client has a backlog of claims to transcribe. We require verbatim transcription including ah's, um's, false starts and stutters. ****Please DO NOT apply to this job if you do not have transcription experience or if you do not meet all of the following requirements.**** Requirements: 1) U.S. Citizen (No California residents). This requirement is not negotiable as these are insurance calls that contain personal information and we require a U.S. background check (Item 3 below). 2) Government-issued photo ID and valid US phone number. ABSOLUTELY NO VOIPS! 3) You must pass a background check through Sentrylink. The $20 payment is to be borne by you through this website I will send y...","confidential insurance claim phone calls, verbatim insurance transcription, u.s. background check, insurance calls, u.s. citizen, transcription experience, california residents, false starts, speechpad, transcribers"
Web to App Convertor Flutter,"I need this project done by today! This is the program software I'm using , and the admin panel is already installed in my cpanel. I just need the app edited with my information, images, and etc. for IOS and Android. I need them complete and ready to be uploaded to each application marketplace.","app convertor flutter, program software, admin panel, web, application marketplace, app, project, today, ios, android"
I need logo designer,I need a serious person who can work on a logo design project for me,"logo design project, logo designer, serious person"
Build me a website,"Dear team I would be grateful if you could help advise me about how to create a MVP type website The website is for medical education and will resolve around solving 150 problems, each of which has 10 sub problems The core features of the website I would hope for are - Registration ○ Portal to allow people to register on the website - Paywall options ○ Portal to allow payment on the website or payment after 5 articles are read - Backwards and forwards functionality - Search tool which prioritises content ○ Clear indexing of content - Content pages which have a drop down menu to sub sections ○ Sub sections which have ability to hold videos - Security features which ○ allow selective locking of some of the 1500 problems ○ Have some protec...","mvp type website, website, sub problems, sub sections, security features, content pages, paywall options, search tool, core features, dear team"
SMART PLS expert  -- 3,I need to conduct analysis - SEM - by SMART PLS. If you are expert on SMART PLS. Kindly bid on. Regards,"smart pls expert, sem, expert, analysis, regards"
Sales and marketing jobs,"We have a opening for female graduates in Hyderabad for handling sales desk, shortlisted candidates will be reached and explain about more about the projects .","marketing jobs, sales desk, female graduates, hyderabad, opening, candidates, projects"
Excel calculator App,I need an app developed that calculates cash amounts that have been sent/received through a mobile money sending platform called mpesa. The user will request a statement from the mobile company and the import and convert from a pdf to an excel file. To better understand how mpesa works click on this link.,"excel calculator app, mobile money, excel file, cash amounts, mobile company, mpesa works, app, platform, user, statement"
Wordpress Setup Plugins (LMS Plugins) for my LMS Website,"Hi Wordpress (LMS Plugins) professionals, Suggest me for wordpress LMS plugin for course content listing tutorial blog, in my LMS Website Refer This for Different LMS Plugins for Course Content Creation & Presentation.. My Requirement: Refer this for my Required Layout in Course Page (my Website - Courses Pages) Curriculum must be similar to this way of Presentation. Setup the appripriate Plugin & Also Add some content (sample) so that I will edit it once Im ready with my Course content. I think this is appropriate LMS Plugin.. ""Learnpress LMS"" Create course Manage course Any Issues? no worry. Pls reply to discuss in detail & make the Deal Btw. Little Low Budget, as its simple task, for Wordpress Professionals. Final Budget depends on the Work effort required...","different lms plugins, wordpress setup plugins, wordpress lms plugin, lms website, course content creation, learnpress lms, course page, wordpress professionals, create course, appripriate plugin"
I need a Project of architecture of dental office -- 2,I need someone with abilities in 3D render to make a office of 30 m2,"dental office, project, architecture, abilities, 3d render, m2"
Create animated videos for educational channel,"Hello everyone, I'm looking for a passionate video editor to help me build a youtube channel. Here is the style that I'm looking for: I will provide the voiceover audio, you will need to take care of editing, sounds, and visuals. Please attach samples of your work, mention your rate for a 3 minute video, and your capacity per month.","passionate video editor, educational channel, youtube channel, minute video, voiceover audio, videos, style, care, sounds, visuals"
Root plant eatery  -- 2,Looking for hand drawn art to add to t-shirts and merch for a vegan restaurant. Similar to photo but more personalized looking,"root plant eatery, vegan restaurant, personalized looking, hand, art, t-shirts, merch, photo"
Mobile Application developer for Instagram,"Hello dear Freelancers. This is the first project I've published on this site. I need an instagram analytics app. It is a profile analysis application that I want to run on Android and IOS Platforms. This app will be used to analyze instagram profiles. Who unfollowed? most popular posts will be features like posts with the most comments. I have a list of all the features I want to exist. I'll need a feature around 50. Things to know: We can't use Instagram official API, Graph API. Because this api is limited. We cannot make a server-side application. Because there is 200 request limit for an ip address. Making the application should be in CookieManager + Webview logic. I will give more detailed information to the developer with whom I will make a deal. Application dea...","mobile application developer, instagram analytics app, dear freelancers, profile analysis application, ios platforms, instagram profiles, graph api, official api, server-side application, application dea"
Root plant eatery,Looking for hand drawn art to add to t-shirts and merch for a vegan restaurant. Similar to photo but more personalized looking,"root plant eatery, vegan restaurant, personalized looking, hand, art, t-shirts, merch, photo"
Develop Android tablet application,"Project is to create a data entry application for logging equipment downtime on a factory production line. In concept, the data entry form should be something like that shown in the attached picture. Simplicity for the user is key. The database will be a mariaDB database on a remote server and application will be required to connect to the server and log in to the database. For this project, the server and login details will be provided and the database will already exist. This will be part of an application to record downtime information and generate summary reports (which are a separate task). It should run on an Android tablet (with 7"", 8"" or 10"" screen size which will be dedicated to the task and will only run this application. The deliverable here will be an Andr...","develop android tablet application, data entry application, factory production line, equipment downtime, application, mariadb database, remote server, downtime information, project, login details"
translet and data entre,translate and data entre with 22,"data entre, translet"
contact lenses and eye lashes company logo -- 2,hello I need a color contact lenses and eye lashes and hair company logo color willl be black gold and you can use gray im open to other color also I need 2 part for my logo 1-just the letter name BEYOND PERFECT with some little effect like you seing in the picture with the lashes in the case 2- 1 eye like the one I sent in white and grey you can use a other one but we need to see the eye clearly and with thick lashes like on the picture there is many example of style I like you need to do something similar its really important there is no negotiation for the budget I need preliminary logo in 24h and final in 48 hours,"other one, eye lashes company logo, hair company logo color, color contact lenses, thick lashes, preliminary logo, black gold, little effect, picture, perfect"
Website design -- 2,Would like a website design similar to this file just set up the design and website and I can add the information to the site.,"website design, file, information, site"
SEO PROJECTS,"!!! Urgent SEO Experts !!! We are an SEO company which provide SEO services to worldwide clients and businesses and I’m looking for an expert who can (Essentials) -Develop optimization strategies that increase the company's website search engine results rankings -Execute tests, collect and analyze data and results, identify trends and insights in order to achieve maximum ROI -Manage the expenses of SEO campaigns, staying on budget, estimating monthly costs and reconciling differences -Work with editorial and marketing teams to drive SEO in content creation and content marketing -Research and implement search engine optimization recommendations -Create and execute link building strategy -Determine measurable goals that demonstrate improvement in marketing efforts -Write compel...","urgent seo experts, website search engine results, search engine optimization recommendations, seo projects, marketing efforts -write compel, link building strategy -determine, content marketing -research, maximum roi -manage, seo company, -develop optimization strategies"
Python Debugging,"Hello, I have 2 scrypts doing the same job, taking Audio file + image(s) and creating a video about them. The issue is both of them are not working. Here are the errors, I am facing : Audio_To_Video = usage: [-h] image audio output : error: the following arguments are required: image, audio, output Audio_To_Video2 = : [Errno 13] Permission denied: 'C:Usersfflorian......' Attached the image (which is only a black background format tiktok) with an audio. At the end, I only need a script being able to work properly on my computer and doing the job detailed above. Thanks Florian","python debugging, black background format tiktok, audio file, audio output, image, scrypts, video, errno, permission, job"
Wordpress (LMS Plugins) for my LMS Website -- 4,"Hi Wordpress (LMS Plugins) professionals, Suggest me for wordpress LMS plugin for course content listing tutorial blog, in my LMS Website Refer This for Different LMS Plugins for Course Content Creation & Presentation.. Require: What Are You Looking for in These WordPress LMS Plugins? My Requirement: Refer this for my Required Lasyout in Course Page (my Website - Courses Pages) Curriculum must be similar to this way of Presentation. Setup the appripriate Plugin & Also Add some content (sample) so that I will edit it once Im ready with my Course content. I think this is appropriate LMS Plugin.. ""Learnpress LMS"" Create course Manage course Any Issues? no worry. Pls reply to discuss in detail & make the Deal Btw. Little Low Budget, as its simple task, for Wordpr...","wordpress lms plugins, lms website, course content creation, learnpress lms, course page, create course, wordpress, tutorial blog, required lasyout, appripriate plugin"
Photo editing,Editing photos and make the black and white photos to colored photos,"photo editing, white photos"
Photo editing  -- 2,Make the black and white photos to col Photo,"photo editing, col photo, white photos"
I need a person to help me write Letter.,Hello everyone on freelancer I need a person to help me write in Axie Infinity With experience This job is ment for Axie Infinity,"axie infinity, person, letter, freelancer, experience, job, ment"
Web to App Convertor Flutter,"Looking for some to finish editing my web app for android and ios. This is the program software I'm using , and the admin panel is already installed in my cpanel. I just need the app edited with my information, images, and etc. for IOS and Android. I need them complete and ready to be uploaded to each application marketplace.","app convertor flutter, web app, program software, admin panel, android, ios, application marketplace, cpanel, information, images"
Child-like Indian English Voice Artist Needed,"Hello, I am looking for an Indian accent English voice over artist with a child-like voice. Need voice over for videos. You have to act like a children. Both male and female artists are welcome. Thanks","indian english voice artist needed, child-like voice, artist, voice, female artists, videos, children, thanks"
Fixing an SMTP in laravel (Sendinblue),"I have an issue in laravel while sending messages! The smtp server works only with the local server smtp and the problem that my server send the message only to JUNKS, i tried to fix the issue by importing SENDINBLUE smtp, but i got errors while trying to test it if i add a relay smtp, or any other server, and i click test i got the error: (( Swift_TransportException Unable to connect with TLS encryption )) Im searching only who is the professional to fix this problem by adding SENDINBLUE scripts into my server, or he made anything to let my server accept any kind of SMTP.","local server smtp, sendinblue smtp, relay smtp, sendinblue scripts, tls encryption, laravel, issue, problem, junks, messages"
Advocate consultation (India),I would like to discuss and get consultation from an experienced advocate in India,"advocate consultation, experienced advocate, india"
website bulid,"building website in wordpress , main menu , about us , payment management","website bulid, building website, payment management, main menu, wordpress"
Mobile Automation test - Appium (iOS-Android),"Mobile Automation test - Appium (iOS-Android) I need assistance with the ""Appium"" test download and execution on the iOS and Android platforms.","mobile automation test, test download, android platforms, appium, ios-android, assistance, execution"
Redesign wordpress website,We would like to redesign the site www.spectrababy.ro. It is a wordpress site. We need a clean and fresh layout. White is preferred. We will provide you with the translation into Romanian. The site will be in Romanian and the site must be responsive. An inspiration source can be dot ae,"wordpress website, romanian, fresh layout, inspiration source, translation, dot, white"
Upgrade SuiteCRM 7.12 to 8.2.1 on AWS EC2 instance -- 3,I need to upgrade my SuiteCRM instance on AWS from 7.12 to 8.2.1. I also need to fix the server permissions as I cannot create new records on some modules and dropdown lists are not showing.,"aws ec2 instance, suitecrm instance, server permissions, dropdown lists, aws, new records, modules"
Website for my painting,My daughter is a painter well trend only 12 year old,"website, painting, daughter, painter, year"
Website for my painting  -- 2,Graphics design work want for income,"graphics design work, website, painting, income"
Need a writer Axie Infinity,Hello everyone on freelancer I need a person to help me write in Axie Infinity With experience This job is ment for Axie Infinity Please bid on it,"writer axie infinity, freelancer, person, experience, job, ment"
Boss spin a new earning app,You can withdraw through PayPal Paytm and many other,"new earning app, paypal paytm, boss"
Wedding Album Designers14,"PROJECT DETAILS : AAD2K27 No. of Pictures : 457 (Shared with interested candidates only) Sheets : 55 Average pictures per sheet : 5 to 9 Album Size : 12*36 Dpi : 300 Cover Photo : Yes Project Type : wedding Submission Date : Nov/29/2022 Output Files PDF File : 55 sheets HQ_Format HQ_FrontCoverSheets : 01_FrontCover_HQ.jpg. HQ_BacktCoverSheets : 01_BackCover_HQ.jpg. HQ_30Sheets : , 02_HQ.jpg.............","aad2k27 no ., nov/29/2022 output files pdf file, wedding album designers14, wedding submission date, sheets hq_format hq_frontcoversheets, album size, project details, project type, cover photo, average pictures"
Interview me and write my biology,Interview me and write my biology,biology
build backend project agent,I looking for backend develop located in brazil and South America.,"backend project agent, south america, backend develop, brazil"
E commerce website,I have a recommendation system for clothing and apparel which is ready and working perfectly fine. I wanted to display it in a website like a e-commerce site with basic functionality and want to display the recommendations for each product when you click on it . Please let me know,"recommendation system, e-commerce site, basic functionality, website, clothing, apparel, recommendations, product"
create an API for an app,"so basically i have a holographic fan. this fan has an app already its name is ""3D Displayer"" on app store and on play store. from the app i can choose which picture or video to display but i cannot input a text for example and the image changes. i want to create an API which communicates with the fan and changes the displayed image according to the given input","app store, holographic fan, play store, image changes, api, displayed image, input, picture, video, text"
